input_sum,output_sun,input_num,output_num,input_sum_sd,output_sum_sd,input_num_sd,output_num_sd
785525535.3,741780367.8,15264,1099,102227128.2,94198045.25,1854.14,128.69
932383246,941211364.5,17776,1380,96637349.19,80517834.04,1803.09,113.32
112773465.2,520691097.8,515,1264,12920825.21,41734031.6,51.6,113.42
1646702.46,651937954.5,1424,3904,223055.91,40475665.05,164.25,270.83
8928032.93,242390151.8,3134,1161,1147261.43,24838937.71,316.2,169.2
76126149.46,324806032.6,5928,5181,6644031.4,24282392.51,456.32,360.32
72445153.24,110036672.9,3123,1321,13281126.97,22081361.84,406.11,237.43
111348020.1,209084031.8,6527,3097,11334237.04,10342631.67,449.7,154.78
64061771.73,203358261.9,5050,1659,5116709.59,14201162.1,520.91,127.9
39108647.88,113655014.4,1599,140,5094339.06,18129501.38,111.51,20.26
3928745.5,122815470,1664,2835,675939.21,10122380.73,205.26,211.63
24565279.45,135537558.5,2847,367,4973689.72,10557330.41,545.53,21.72
114520005.3,116652185.4,1286,1284,15623093.9,15977678.39,164.61,165.08
103268584.5,143264372.9,3141,231,6729517.71,8724547.9,199.19,13.81
20785662.73,107831741,512,1439,2145053.79,8943399.3,56.08,110.12
1210488.04,187713527.4,457,12209,91830.58,11958798,56.56,755.54
6926522.32,182429033.1,2023,726,1020815.66,4907261.66,245.43,99.75
39177009.15,159374968.2,1357,4458,4600887.8,5589179.55,108.97,215.76
49328650.86,97267679.64,704,1366,6713181.43,10257948.41,60.14,119.95
32709212.26,90439864.44,3579,1099,3155959.41,12501372.66,334.47,115.56
8662197.31,104168305.7,2434,1245,1911684.85,15035243.02,362.16,181.69
112976762.8,117569720.1,2916,3844,7076868.39,7121544.74,171.98,202.87
123019829.8,131110608.4,3170,1416,8092475.17,9441553.35,231.69,109.96
147605710.2,187669783.1,5603,2314,12181526.71,12324399.87,537.23,146.67
28869945.28,80568173.17,511,270,7375058.78,7139219.84,80.87,33.81
566820.35,101240606.3,285,1147,71973.69,8474884.17,27.37,91.7
83207437.35,114258375.1,3268,410,6259004.51,7469617.58,247.69,22.74
10289917.7,102421153,781,140,2005188.87,10777822.53,83.56,12.86
6302403.63,119611728,891,1488,536841.68,6085867.64,90.28,52.95
87916.36,241023767.8,71,280,23702.08,29070505.42,14.18,31.32
123056747,74457899.33,2657,1816,10367229.39,8948760.66,290.43,168.11
74244539.66,78595786.98,398,1045,7675516.32,11175458.63,42.76,138.84
2141865.02,153867406.2,592,384,372023.84,12211153.93,69.01,22.73
47908999.59,67116525.76,1472,918,9511800.38,12209751.26,147.99,127.3
62683706.16,79121019.39,1099,859,7314371.5,9671229.94,142.52,100.67
66228852.23,103171771.6,4472,233,7030623.31,7781224,362.76,14.38
150164582.9,222833468.6,4245,2814,13514634.85,12898070.59,362.56,157.31
879826.76,153900098.9,246,238,150794.63,12152334.56,25.66,18.24
133517857.6,136961159.2,9820,471,9441652.29,23526249.63,664.34,21.31
75117230.54,130693646.5,2576,928,3902072.44,7619403.32,183.61,80.47
70610100.74,119829636.7,4099,1453,6865819.31,5707272.74,338.16,67.66
86924609.02,114219774.2,4147,2346,5334571.08,6367810.34,240.98,120.04
2927643.39,77618674.3,168,1397,837294.37,8600710.95,19.65,174.73
138709711.3,119627824.7,7071,4642,5988886.77,6073650.03,359.03,284.11
1361564.03,90209902.91,461,399,488665.58,10453341.73,190.72,76.73
75301296.53,114831443.2,5811,1410,10967183.54,9233600.71,498.43,113.13
32194310.4,71763015.63,1247,786,3932915.03,9618436.63,94.56,106.59
45206539.15,104409268.1,1823,7013,4202305.78,6399365.83,169.06,369.66
41265979.18,74903266.59,464,1171,5074181.8,8274379.34,47.92,92.67
105941230.4,106836324.8,1314,2370,3179225.74,4170448.04,81.6,103.17
75632024.77,91150036.85,2319,1148,5192398.09,5117202.31,190.91,66.58
78364272.39,74001823.99,3930,3771,5496127.92,5865011.11,374.17,298.95
4288780.69,83492525.8,3163,1935,358385.03,4202076.11,258.82,95.03
70911921.57,97717360.95,3061,835,7789747.25,9478231.05,344.02,87.67
80109910.19,78541364.38,333,1019,6841713.54,6463456.26,22,66.11
36358548.25,60347261.57,2000,718,5524021.19,6434141.84,254.76,68.83
63091063.26,74087731.47,3545,2023,3827813.42,4783196.89,247.73,99.81
86445982.11,76977567.97,2974,1475,4246613,4152021.19,188.4,91.83
73259105.42,77437981.47,972,1049,5662168.4,5796898.27,83.23,81.68
